1438373905686-1194,61,54
Sat Aug 01 2015 19:42:28 GMT+0900 (Korea Standard Time),-509,199,506
Sat Aug 01 2015 19:42:28 GMT+0900 (Korea Standard Time),-519,205,504
Sat Aug 01 2015 19:42:29 GMT+0900 (Korea Standard Time),-526,204,503
Sat Aug 01 2015 19:42:29 GMT+0900 (Korea Standard Time),-533,204,503
Sat Aug 01 2015 19:42:29 GMT+0900 (Korea Standard Time),-533,201,501
Sat Aug 01 2015 19:42:30 GMT+0900 (Korea Standard Time),-535,199,500
Sat Aug 01 2015 19:42:30 GMT+0900 (Korea Standard Time),-537,202,499
Sat Aug 01 2015 19:42:30 GMT+0900 (Korea Standard Time),-536,205,501
Sat Aug 01 2015 19:42:31 GMT+0900 (Korea Standard Time),-537,202,501
Sat Aug 01 2015 19:42:31 GMT+0900 (Korea Standard Time),-539,206,498
Sat Aug 01 2015 19:42:31 GMT+0900 (Korea Standard Time),-542,208,498
Sat Aug 01 2015 19:42:32 GMT+0900 (Korea Standard Time),-540,205,499
Sat Aug 01 2015 19:42:32 GMT+0900 (Korea Standard Time),-543,210,496
Sat Aug 01 2015 19:42:33 GMT+0900 (Korea Standard Time),-545,207,497
Sat Aug 01 2015 19:42:33 GMT+0900 (Korea Standard Time),-539,209,499
Sat Aug 01 2015 19:42:33 GMT+0900 (Korea Standard Time),-546,209,499
Sat Aug 01 2015 19:42:34 GMT+0900 (Korea Standard Time),-542,213,500
Sat Aug 01 2015 19:42:34 GMT+0900 (Korea Standard Time),-545,211,494
Sat Aug 01 2015 19:42:34 GMT+0900 (Korea Standard Time),-546,211,498
Sat Aug 01 2015 19:42:35 GMT+0900 (Korea Standard Time),-548,212,498
Sat Aug 01 2015 19:42:35 GMT+0900 (Korea Standard Time),-552,208,498
Sat Aug 01 2015 19:42:35 GMT+0900 (Korea Standard Time),-528,228,504
Sat Aug 01 2015 19:42:36 GMT+0900 (Korea Standard Time),-514,248,502
Sat Aug 01 2015 19:42:36 GMT+0900 (Korea Standard Time),-521,231,505
Sat Aug 01 2015 19:42:36 GMT+0900 (Korea Standard Time),-534,237,500
Sat Aug 01 2015 19:42:37 GMT+0900 (Korea Standard Time),-545,234,498
Sat Aug 01 2015 19:42:37 GMT+0900 (Korea Standard Time),-550,232,499
Sat Aug 01 2015 19:42:37 GMT+0900 (Korea Standard Time),-553,239,496
Sat Aug 01 2015 19:42:38 GMT+0900 (Korea Standard Time),-554,250,492
Sat Aug 01 2015 19:42:38 GMT+0900 (Korea Standard Time),-558,251,493
Sat Aug 01 2015 19:42:38 GMT+0900 (Korea Standard Time),-562,247,489
Sat Aug 01 2015 19:42:39 GMT+0900 (Korea Standard Time),-564,242,492
Sat Aug 01 2015 19:42:39 GMT+0900 (Korea Standard Time),-563,242,487
Sat Aug 01 2015 19:42:39 GMT+0900 (Korea Standard Time),-565,244,488
Sat Aug 01 2015 19:42:40 GMT+0900 (Korea Standard Time),-568,238,491
Sat Aug 01 2015 19:42:40 GMT+0900 (Korea Standard Time),-568,241,493
Sat Aug 01 2015 19:42:40 GMT+0900 (Korea Standard Time),-570,243,492
Sat Aug 01 2015 19:42:41 GMT+0900 (Korea Standard Time),-571,240,491
Sat Aug 01 2015 19:42:41 GMT+0900 (Korea Standard Time),-571,238,489
Sat Aug 01 2015 19:42:41 GMT+0900 (Korea Standard Time),-573,236,492
Sat Aug 01 2015 19:42:42 GMT+0900 (Korea Standard Time),-576,235,492
Sat Aug 01 2015 19:42:42 GMT+0900 (Korea Standard Time),-572,230,491
Sat Aug 01 2015 19:42:42 GMT+0900 (Korea Standard Time),-572,229,493
Sat Aug 01 2015 19:42:43 GMT+0900 (Korea Standard Time),-577,234,488
Sat Aug 01 2015 19:42:43 GMT+0900 (Korea Standard Time),-582,233,489
Sat Aug 01 2015 19:42:43 GMT+0900 (Korea Standard Time),-577,233,488
Sat Aug 01 2015 19:42:44 GMT+0900 (Korea Standard Time),-581,232,490
Sat Aug 01 2015 19:42:44 GMT+0900 (Korea Standard Time),-583,231,488
Sat Aug 01 2015 19:42:44 GMT+0900 (Korea Standard Time),-582,234,487
Sat Aug 01 2015 19:42:45 GMT+0900 (Korea Standard Time),-585,231,490
Sat Aug 01 2015 19:42:45 GMT+0900 (Korea Standard Time),-583,231,490
Sat Aug 01 2015 19:42:45 GMT+0900 (Korea Standard Time),-587,234,488
Sat Aug 01 2015 19:42:46 GMT+0900 (Korea Standard Time),-587,229,489
Sat Aug 01 2015 19:42:46 GMT+0900 (Korea Standard Time),-589,230,487
